Carter Stokes,NA,2,0,37,4,281.03
Jacob Jerde,NA,2,0,35,2,219.51
Tressa Ratke,192.90.208.202,4,1,45,3,1525.7
Rudolf Abshire,251.55.128.164,3,1,46,3,715.25
Theresa Davis,182.19.192.186,1,1,33,4,1937.5
Rich Bartell,NA,4,0,24,3,1314.2
Brooks Kutch,NA,2,0,43,6,8.5472
Keitha Mosciski,173.45.123.122,3,1,66,5,819.98
Hortense Streich,15.181.154.173,1,1,51,5,908.31
Carl Price,157.195.240.69,1,1,47,3,767.54
Scot Rolfson,125.149.221.56,3,1,44,5,122.39
Donald Heaney,70.8.139.33,1,1,33,2,684.32
Troy Kertzmann,NA,2,0,32,2,58.997
Katelin Reinger,174.248.11.168,3,1,48,7,529.57
Ailene Fahey,32.97.218.144,4,1,34,6,270.49
Melodie Friesen,NA,3,0,43,7,1585.1
Efrain Little,93.214.151.69,1,1,20,7,1901.3
Robin Gottlieb,63.167.121.216,3,1,43,4,165.48
Lowell Tremblay,NA,4,0,35,2,2791.6
Miss Murray,NA,4,0,58,7,1225.8
Angelo Romaguera,NA,4,0,37,7,1022.6
Chase Sporer,NA,3,0,49,5,2524.4
Aida Gislason,46.140.140.56,1,1,55,4,267.18
Hulda Witting,100.139.57.136,1,1,31,6,901.7
Darrick Hills,15.76.51.231,4,1,53,2,283.5
Verena Parker,113.210.253.7,4,1,21,5,113.65
Porfirio Jaskolski,NA,2,0,42,5,114.49
Svetlana Greenfelder,43.86.109.202,4,1,40,5,1151.7
Raymon Spinka,32.32.101.94,3,1,31,4,246.61
Cameron Hyatt,NA,4,0,28,7,623.05
Ahmad Prohaska,24.223.108.133,1,1,59,3,346.26
Lezlie Hudson,187.128.82.133,4,1,41,3,935.72
Phillis Little,248.32.34.171,3,1,74,6,652.57
Lu Sauer,8.53.199.142,3,1,49,7,987.98
Kiley Daugherty,4.82.177.198,3,1,55,1,120.47
Jovita Hansen,197.12.131.173,3,1,40,6,649.27
Edward Jaskolski,226.45.208.225,3,1,66,6,429.13
Marcie Swift,12.136.160.98,4,1,19,7,271.71
Quentin Funk,NA,2,0,43,1,472.69
Napoleon King,NA,3,0,20,8,261.1
Frank Connelly,NA,2,0,54,4,456.25
Corrina Douglas,NA,2,0,55,5,274.09
Omar Dickens,NA,3,0,57,4,2289.2
Johnathon Hansen,NA,3,0,44,1,861.21
Kenyetta Watsica,168.63.97.91,4,1,30,4,856.26
Gilberte Brown,83.210.161.213,4,1,46,3,754.08
Wilfred Hane,NA,3,0,27,6,592.34
Nicol Botsford,180.187.184.84,4,1,20,2,906.9
Porter Wolff,NA,4,0,57,3,505.34
Lino Gottlieb,99.31.146.232,4,1,51,5,901.74
Hector Hoppe,NA,4,0,30,6,1612.9
Cliff Feeney,NA,2,0,74,3,473.62
Debora Keebler,136.104.211.165,4,1,20,3,127.09
Franklin Crooks,114.207.250.84,4,1,38,4,1825.3
Kyung Gleichner,NA,2,0,44,7,245.28
Ellan Ortiz,163.24.154.108,4,1,26,1,1448.6
Lenita Stracke,158.227.218.90,1,1,36,7,96.541
Brady Koch,NA,4,0,53,5,2952.8
Chris Cormier,109.116.48.227,1,1,22,2,1008.2
Tawnya Metz,NA,2,0,66,1,65.619
Corey Bailey,NA,4,0,30,1,1046.9
Alex Stracke,NA,2,0,39,7,221.3
Art Batz,167.96.107.124,1,1,27,4,961.23
Katherin Heaney,NA,2,0,38,1,336.44
Robbie Will,NA,2,0,69,4,213.62
Natashia Marvin,NA,2,0,81,4,324.98
Reid Kirlin,55.94.207.55,1,1,26,4,200.27
Laveta Aimonetti,NA,2,0,65,2,204.67
Darla Hartmann,NA,2,0,35,2,168.86
Herb Blanda,208.5.237.100,3,1,61,7,240.27
Kimi Ernser,24.26.246.53,4,1,44,4,1143.4
Rod Padberg,NA,3,0,62,7,2591.3
Maxwell Greenholt,9.66.37.152,4,1,51,2,1656.4
Florencio Leffler,162.108.63.82,3,1,49,4,172.17
Ester Lakin,NA,2,0,78,6,469.96
Calandra McClure,99.238.99.251,1,1,40,2,748.35
Johnsie O'Reilly,NA,2,0,30,4,46.862
Katelynn Hane,101.230.218.52,3,1,38,5,91.63
Cristobal Gulgowski,NA,2,0,29,3,39.771
Ruthie Hackett,146.169.213.122,4,1,44,3,1123.5
Octavio Feeney,NA,2,0,47,3,13.577
Max Brown,163.78.108.91,4,1,41,1,1355.9
Brandon Keebler,NA,4,0,59,2,1299.2
Lizabeth Goyette,26.106.124.53,3,1,42,7,698.67
Gaylord Considine,78.120.142.33,1,1,26,4,803.38
Thomas Yundt,88.9.81.63,4,1,28,2,1057
Christa Denesik,64.170.241.245,1,1,45,3,532.4
Laine Skiles,39.161.202.14,3,1,53,2,500.85
Perry McGlynn,NA,4,0,20,5,991.58
Milford O'Reilly,NA,2,0,34,2,125.63
George Haag,NA,4,0,24,4,1875.2
Antony Bergnaum,117.61.111.201,1,1,53,2,917.28
Ava Mertz,57.48.129.134,1,1,44,2,1254.8
Harris Oberbrunner,90.52.48.245,1,1,55,2,1288.1
Grant Stanton,151.55.75.114,1,1,67,7,136.97
Eddy Schumm,NA,2,0,58,4,165.28
Latina Schamberger,133.71.98.46,1,1,19,7,1995
Stanton Jerde,NA,2,0,80,1,13.109
Vince Stokes,NA,2,0,58,7,200.31
Mason Nolan,NA,2,0,73,5,34.782
Lorean Moore,124.166.238.189,1,1,38,6,368.29
Ginger Casper,NA,4,0,62,5,1606
Lenore Glover,30.132.12.31,1,1,67,5,59.912
Franklin Hackett,149.178.231.112,4,1,31,4,1038
Shawnta Keebler,52.143.61.12,3,1,36,4,701.57
Chris Bruen,NA,2,0,48,7,86.411
Victor Crooks,64.8.188.23,4,1,26,8,199.46
Cheryl Lesch,NA,2,0,32,3,122.55
Rudolf Jakubowski,169.126.87.68,4,1,28,2,822.56
Ulrike Heathcote,NA,2,0,42,2,449.55
Wilton Labadie,194.139.214.17,3,1,25,6,106.33
Bert Nolan,NA,4,0,54,7,670.42
Christian Ward,151.236.74.8,3,1,74,2,673.84
Chi Hermann,NA,2,0,65,8,315.94
Isaac Corwin,NA,4,0,49,3,528.32
Alfred Jacobson,11.20.198.25,3,1,52,6,625.5
Leon Beahan,NA,4,0,30,7,795.12
Preston Cartwright,252.139.242.151,1,1,32,4,659.64
Donnell Gerlach,53.37.231.141,1,1,48,2,750.05
